Atmospheric Density,Surface Temperature,Gravity,Water Content,Mineral Abundance,Orbital Period,Proximity to Star,Magnetic Field Strength,Radiation Levels,Atmospheric Composition Index
-1.303074,2.9325397,-0.16804317,-1.2202495,-1.9426618,0.95047295,1.5407825,Category_13,Category_6,-0.7298093
0.08112391,-3.7473903,-0.59889746,1.5634873,-0.19995251,-1.8449258,1.0953493,Category_11,Category_10,-0.34185022
-3.709952,-1.6895875,0.25949872,1.0200456,-2.0945647,0.34464067,-0.09422738,Category_9,Category_9,-0.53265834
4.8388042,0.44290873,0.9953115,-0.38527206,-0.8180648,-1.903998,2.7277944,Category_10,Category_9,-0.20555763
0.7422175,2.8022807,-1.1447586,2.4758396,-0.5859589,0.88069415,-1.9428629,Category_11,Category_6,0.763087
-4.0050173,-1.901338,0.31377545,0.23659721,-1.2532173,1.025298,0.38318175,Category_8,Category_11,-0.28590846
-0.99891776,2.1648104,-1.8201236,-0.1719591,-0.3490167,0.7188156,-0.66859204,Category_11,Category_7,-1.7065444
-1.2474822,1.3617637,-1.5284809,0.86121535,0.40303627,-1.49071,-1.2161288,Category_8,Category_12,-0.020934448
1.0287182,0.557269,1.0252486,1.4785539,-0.20978262,0.016791299,-0.14773001,Category_7,Category_8,3.6626005
-0.12159719,3.2817166,2.1078162,-1.8420525,-0.033431772,1.1138343,0.9629102,Category_8,Category_11,-2.7195425
4.4138536,-2.396716,-1.8479072,0.50136316,-3.157755,1.5717081,-0.90463483,Category_6,Category_5,-0.34377855
1.3109243,-0.762207,-0.7709125,2.395783,-1.0519096,1.0001742,0.20565046,Category_8,Category_11,-0.5414975
-0.66254884,3.8954043,0.49697047,-1.174096,0.76929516,-0.87006235,-0.6599008,Category_8,Category_8,0.66832155
4.114962,0.12941536,-1.1784401,0.21549496,-1.6247728,0.67360693,-0.71809846,Category_4,Category_9,-0.71317977
-3.4438708,-1.5711325,0.18901205,-0.22408362,-1.24956,-1.5410455,2.1870472,Category_8,Category_8,0.29102975
0.43563265,-1.5256113,-2.929294,0.7805157,-1.9134884,-0.17746273,-0.5280371,Category_9,Category_7,-2.4080777
0.6790247,3.4694948,-1.6896085,1.1685884,0.45645913,0.58781147,-0.5308275,Category_10,Category_6,2.022093
-0.06578244,2.6423092,-1.37293,-1.0326352,-1.7664148,-0.20370841,1.778751,Category_15,Category_7,0.3788257
0.30931878,-1.3941945,-2.7213109,1.5411553,0.38166085,-1.1593344,1.4049926,Category_10,Category_13,-2.527782
-0.9489137,2.5936925,-1.0853276,0.58627176,0.41464764,-0.4820333,-2.801355,Category_11,Category_8,0.29248878
-1.4284041,1.8149163,1.4664569,-3.3966203,0.26550397,0.3753537,0.9242198,Category_11,Category_12,-2.8396382
0.65753007,-0.08248331,-1.1795838,1.9137266,1.3786997,-3.0421793,-0.90932024,Category_8,Category_7,-1.5750456
-0.3608407,0.81509787,-0.46717593,3.1075783,-0.6515658,0.5422553,0.57944167,Category_10,Category_10,0.011159159
-0.24828558,-0.43527654,0.48995999,-1.5904508,-0.14194009,-2.1191611,-1.7821684,Category_8,Category_6,0.7063637
-1.377985,1.865574,-1.7975277,1.8988067,-0.9273017,0.21612364,-1.6528635,Category_11,Category_8,0.7672318
7.4074225,-0.4246161,2.6837091,0.1753617,-1.7322427,1.0545044,1.4530354,Category_8,Category_11,1.4359376
-1.0126352,2.3222213,-2.1158595,0.6096569,-1.941671,-0.09811781,-0.74045855,Category_14,Category_8,0.9802697
0.8822562,3.4550521,-0.7095087,1.0475651,0.8526417,-0.5890111,-2.80216,Category_9,Category_7,0.40918285
4.423634,-1.3921342,-0.72101754,-1.286772,0.025759041,-0.20271239,0.42739072,Category_9,Category_8,-1.4392767
-3.000988,-0.60445493,-0.42324686,0.36040503,-1.6730776,-1.7372526,0.97855026,Category_8,Category_6,-0.0075244457
-0.6991712,-1.0281454,-2.1528192,-2.014627,-0.05537088,-1.900568,1.4231392,Category_13,Category_9,-0.20015979
-2.9403796,-0.057931885,-1.05167,0.46933326,-1.8074806,-1.6255412,0.2263768,Category_9,Category_6,1.2393215
-0.26447195,-1.2214841,-4.211138,-0.47776303,0.44898355,-2.2260425,-0.60430497,Category_10,Category_11,-1.4210334
1.8433398,1.01833,0.8361144,3.6433535,-2.7669756,-0.20807159,-0.49320444,Category_5,Category_9,0.16332686
-1.0797361,1.0265657,1.9648395,-1.4624784,0.4060694,3.960103,0.8768766,Category_10,Category_7,-1.2725172
1.630639,-1.6685984,0.8708016,2.0755355,-0.7135788,1.7418969,0.32709453,Category_13,Category_3,-0.12211535
-0.5480107,2.7095995,-1.4352546,-0.24217804,-0.7548339,0.9025069,1.9462,Category_13,Category_5,0.9558512
-3.4102805,-0.5226128,-0.29814503,0.02846177,-1.5312507,-1.6135049,1.346431,Category_7,Category_7,0.504684
-0.3721807,-3.1471148,-1.1124743,0.95504266,-1.1493814,-0.57777,0.8024965,Category_9,Category_7,0.37175348
-3.567734,-2.1640873,0.34927008,-0.55921966,-0.73124784,-1.3118349,1.8030022,Category_7,Category_11,0.4188261
-3.3999755,-0.7386044,-0.29018342,1.1666565,-2.7251325,-0.6923925,-0.0224859,Category_8,Category_7,-0.5178506
-1.6524725,2.3964148,-0.75260407,-0.32772863,-1.0947559,0.4138237,1.6362453,Category_11,Category_7,0.8226822
-1.60862,2.7331765,-1.3932838,0.35182607,1.7339072,1.6551358,-1.137027,Category_10,Category_9,0.7111532
-1.9606253,-1.5358185,0.5340526,2.280625,-1.172164,0.042298548,-1.3682163,Category_10,Category_10,1.3775206
-1.6725105,-0.9685011,-0.51165414,-0.27587187,-0.3538756,-2.1758816,1.239706,Category_13,Category_6,-0.7823888
0.35141355,-1.6015369,-1.2069446,-1.3985876,-0.005269901,-2.189413,-2.1600626,Category_11,Category_6,-0.21688089
-1.8177627,0.027108043,-1.9447726,0.5780411,-0.005241721,-1.8911811,0.6054595,Category_10,Category_7,1.5183469
-1.8440527,0.04875378,0.7820419,2.3899374,-0.13451679,0.60488933,-0.62800884,Category_11,Category_7,-0.0109766945
2.1863647,4.045993,-2.369598,-0.97881573,3.1665282,0.23492163,-2.0916588,Category_10,Category_11,0.45258898
